"kanji","hanviet","radical","stroke","onyomi","level","kunyomi","meaning"
一,NHẤT,NHẤT【一】,1,イチ、イツ,N5,ひとつ、ひと,"một, đồng nhất, nhất định"
九,CỬU,PHIỆT【丿】,2,キュウ、ク,N5,ここの、ここの.つ,"9"
七,THẤT,ẤT【乙】,2,シチ,N5,なな.つ、なな、.なの,"7"
十,THẬP,THẬP【十】,2,ジュウ、ジッ、ジュッ,N5,とう、と,mười
人,NHÂN,NHÂN【人】,2,ジン、ニン,N5,ひと,nhân vật
二,NHỊ,NHỊ【二】,2,ニ、ジ,N5,ふた.つ,"2"
入,NHẬP,NHẬP【入】,2,ニュウ、ニッ,N5,はい.る、い.る、い.れる,"nhập cảnh, nhập môn, nhập viện"
八,BÁT,BÁT【八】,2,ハチ,N5,やっ.つ、や.つ、や、よう,"8"
土,THỔ,THỔ【土】,3,ド、ト,N5,つち,"thổ địa, thổ công"
万,VẠN,NHẤT【一】,3,マン、バン,N5,マン、ばん,"vạn, nhiều, vạn vật"
千,THIÊN,PHIỆT【丿】,3,セン,N5,ち,"nghìn, nhiều, thiên lí"
川,XUYÊN,XUYÊN【川　巛】,3,セン,N5,かわ,sông
大,ĐẠI,ĐẠI【大】,3,ダイ、タイ,N5,たい、おお.きい、おお-、おお.いに,"to lớn, đại dương, đại lục"
子,"TỬ,TÝ",TỬ【子】,3,シ、ス、ツ、-っ.こ,N5,こ,"tử tôn, phần tử, phân tử, nguyên tử"
女,NỮ,NỮ【女】,3,ジョ、ニョ、ニョウ,N5,おな、め,phụ nữ
小,TIỂU,TIỂU【小】,3,ショウ,N5,ちい.さい、こ-、お-,"nhỏ, ít"
上,THƯỢNG,BỐC【卜】,3,ジョウ、ショウ、シャン,N5,うえ、かみ、うわ-、あ.げる、あ.がる、のぼ.る、のぼ.せる／す,"thượng tầng, thượng đẳng"
口,KHẨU,KHẨU【口】,3,コウ、ク,N5,くち,"miệng, nhân khẩu, khẩu ngữ"
三,TAM,NHẤT【一】,3,サン、ゾウ,N5,みっつ、みつ、み,"3"
山,"SƠN,SAN",SƠN【山】,3,サン、セン,N5,やま,"núi, sơn hà"
下,HẠ,NHẤT【一】,3,カ、ゲ,N5,した、もと、しも、さ.げる、お.ろす、くだ.す、さ.がる、お.りる、くだ.る、くだ.さる,"dưới, hạ đẳng"
円,VIÊN,QUYNH【冂】,4,エン,N5,まる.い、まる、まど、まど.か、まろ.やか、つぶら、のぶ、みつ,"viên mãn, tiền Yên"
火,HỎA,HỎA【火】,4,カ,N5,ひ、ほ,lửa
今,KIM,NHÂN【人】,4,コン、キン,N5,いま,"đương kim, kim nhật"
月,NGUYỆT,NGUYỆT【月】,4,ゲツ、ガツ,N5,つき、がつ,"mặt trăng, tháng, nguyệt san, nguyệt thực"
五,NGŨ,NHẤT【一】,4,ゴ,N5,いつつ、いつ,"5"
午,NGỌ,PHIỆT【丿】,4,ゴ,N5,"",chính ngọ
少,"THIẾU,THIỂU",PHIỆT【丿】,4,ショウ,N5,すこ.しい、すく.ない,"""thiếu niên; thiểu số"""
手,THỦ,THỦ【手】,4,シュ、ズ,N5,て、た,"tay, thủ đoạn"
中,TRUNG,CỔN【丨】,4,チュウ,N5,なか,"trung tâm, trung gian, trung ương"
天,THIÊN,NHẤT【一】,4,テン,N5,あめ、あま,"thiên thạch, thiên nhiên, thiên đường"
水,THỦY,THỦY【水】,4,スイ,N5,みず,thủy điện
木,MỘC,MỘC【木】,4,ボク、モク,N5,き、こ,"cây, gỗ"
父,PHỤ,PHỤ【父】,4,フ,N5,ちち,"phụ tử, phụ thân, phụ huynh"
分,PHÂN,BÁT【八】,4,ブン、フン、ブ,N5,ふん、わ.ける／かつ、わ.かれる、わ.かる,"phân số, phân chia"
日,NHẬT,NHẬT【日】,4,ニチ、ジツ,N5,ひ、-か,"mặt trời, ngày, nhật thực, nhật báo"
友,HỮU,HỰU【又】,4,ユウ,N5,とも,"bạn hữu, hữu hảo"
六,LỤC,ĐẦU【亠】,4,ロク、リク,N5,むっ.つ、む.つ、む、むい,"6"
立,LẬP,LẬP【立】,5,リツ、リュウ、リットル,N5,りゅう、た.つ、た.てる,"thiết lập, tự lập"
半,BÁN,CHỦ【丶】,5,ハン,N5,なか.ば,"bán cầu, bán nguyệt"
母,MẪU,MẪU【毋】,5,ボ,N5,はは,"mẹ, phụ mẫu, mẫu thân"
北,BẮC,TRỦY【匕】,5,ホク,N5,きた,phương bắc
本,"BẢN,BỔN",CỔN【丨】,5,ホン,N5,もと,"sách, cơ bản, nguyên bản, bản chất"
目,MỤC,MỤC【目】,5,モク、ボク,N5,め、ま,"mắt, hạng mục, mục lục"
白,BẠCH,BẠCH【白】,5,ハク、ビャク,N5,びゃく、しろ.い、しろ、しら,"thanh bạch, bạch sắc"
生,SINH,SINH【生】,5,セイ、ショウ,N5,い.きる/ける、い.かす、う.む、う.まれる、は.やす/える、なま、き-,"sinh sống, sinh sản"
出,XUẤT,CỔN【丨】,5,シュツ、スイ,N5,だ.す、で.る,"xuất hiện, xuất phát"
古,CỔ,THẬP【十】,5,コ,N5,ふる.い、ふる.す,"cũ, cổ điển, đồ cổ"
左,TẢ,CÔNG【工】,5,サ、シャ,N5,ひだり,"bên trái, tả hữu, cánh tả"
四,TỨ,VI【囗】,5,シ,N5,よっ.つ、よ.つ、よ、よん,"4"
外,NGOẠI,TỊCH【夕】,5,ガイ、ゲ,N5,そと、ほか、はず.れる/す,"ngoài, ngoại thành, ngoại đạo"
右,HỮU,KHẨU【口】,5,ウ、ユウ,N5,みぎ,"bên phải, hữu ngạn, cánh hữu"
気,KHÍ,KHÍ【气】,6,キ、ケ,N5,いき,"không khí, khí chất, khí khái, khí phách "
休,HƯU,NHÂN【人】,6,キュウ,N5,やす.む、やす.める、やす.まる,"hưu trí, hưu nhàn"
会,HỘI,NHÂN【人】,6,カイ、エ,N5,え、あ.う,"hội họp, đại hội"
安,AN,MIÊN【宀】,6,アン,N5,やす.い,"an bình, an ổn"
行,HÀNH,HÀNH【行】,6,コウ、ギョウ、アン,N5,い.く、ゆ.く、ぎょう、おこな.う,"""thực hành, lữ hành; ngân hàng"""
耳,NHĨ,NHĨ【耳】,6,ジ,N5,みみ,tai
西,TÂY,TÂY【襾】,6,セイ、サイ、ス,N5,にし,phương tây
先,TIÊN,NHÂN【儿】,6,セン,N5,さき,"tiên sinh, tiên tiến"
多,ĐA,TỊCH【夕】,6,タ,N5,おお.い,đa số
名,DANH,TỊCH【夕】,6,メイ、ミョウ,N5,な,"danh tính, địa danh"
毎,MỖI,MẪU【毋】,6,マイ,N5,"",mỗi
百,BÁCH,NHẤT【一】,6,ヒャク、ビャク,N5,"","trăm, bách niên"
年,NIÊN,PHIỆT【丿】,6,ネン,N5,とし,"năm, niên đại"
来,LAI,PHIỆT【丿】,7,ライ、タイ,N5,きた.す、きた.る、く.る,"đến, tương lai, vị lai"
